Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,120.80999755859375,121.62999725341797,120.7699966430664,121.43000030517578,98.217041015625,5205000
2020-01-03,121.77999877929688,122.72000122070312,120.73999786376953,121.01000213623047,97.87734985351562,6360900
2020-01-06,121.23999786376953,121.66999816894531,120.33000183105469,120.5999984741211,97.54570007324219,9953000
2020-01-07,119.0199966430664,119.7300033569336,117.7699966430664,119.05999755859375,96.30008697509766,7856900
2020-01-08,118.55000305175781,119.08999633789062,117.6500015258789,117.69999694824219,95.20008087158203,7295900
2020-01-09,117.58999633789062,117.91999816894531,116.18000030517578,117.51000213623047,95.04640197753906,7345300
2020-01-10,117.5199966430664,117.69000244140625,116.4000015258789,116.44000244140625,94.18093872070312,6393800
2020-01-13,116.47000122070312,116.91000366210938,116.08000183105469,116.66000366210938,94.35889434814453,6846700
2020-01-14,116.5,116.87999725341797,115.70999908447266,116.30000305175781,94.06771850585938,7189100
2020-01-15,116.30000305175781,116.41000366210938,115.6500015258789,116.12999725341797,93.93022918701172,5808800
2020-01-16,116.55999755859375,117.27999877929688,116.44999694824219,116.88999938964844,94.54491424560547,7022000
2020-01-17,117.01000213623047,117.29000091552734,115.5199966430664,115.58000183105469,93.48533630371094,7885900
2020-01-21,115.0999984741211,115.1500015258789,113.16999816894531,113.30999755859375,91.64929962158203,8470300
2020-01-22,113.0999984741211,113.52999877929688,112.45999908447266,112.9000015258789,91.31766510009766,5589900
2020-01-23,112.4000015258789,113.48999786376953,111.86000061035156,113.0999984741211,91.47943878173828,8007800
2020-01-24,112.79000091552734,112.9800033569336,111.33999633789062,111.8499984741211,90.46839141845703,6920000
2020-01-27,110.25,110.83000183105469,109.9800033569336,110.38999938964844,89.28749084472656,7609800
2020-01-28,110.9800033569336,111.62000274658203,110.7699966430664,111.12000274658203,89.87793731689453,5771900
2020-01-29,111.44999694824219,111.83999633789062,110.18000030517578,110.37000274658203,89.27130126953125,4772800
2020-01-30,109.80999755859375,111.58000183105469,109.05999755859375,111.4000015258789,90.10441589355469,8382700
2020-01-31,109.80999755859375,110.0,106.4000015258789,107.13999938964844,86.65876007080078,13699600
2020-02-03,106.94999694824219,107.25,105.4000015258789,106.27999877929688,85.9631576538086,8785500
2020-02-04,107.68000030517578,108.33999633789062,106.5999984741211,106.8499984741211,86.42420196533203,9909000
2020-02-05,108.2699966430664,110.6500015258789,108.11000061035156,110.27999877929688,89.1985092163086,6914100
2020-02-06,110.62999725341797,110.66999816894531,109.11000061035156,109.48999786376953,88.55952453613281,6274000
2020-02-07,108.93000030517578,109.44000244140625,108.47000122070312,108.94000244140625,88.11467742919922,4830100
2020-02-10,108.54000091552734,109.80000305175781,108.31999969482422,109.79000091552734,88.80217742919922,6011800
2020-02-11,110.77999877929688,111.37000274658203,110.05999755859375,111.20999908447266,89.95072937011719,6072700
2020-02-12,112.51000213623047,112.5999984741211,111.61000061035156,112.04000091552734,90.6220703125,5725700
2020-02-13,111.37000274658203,112.33000183105469,111.2300033569336,111.66000366210938,90.31470489501953,5991900
2020-02-14,110.83999633789062,110.97000122070312,109.58000183105469,110.08000183105469,90.07742309570312,5148700
2020-02-18,109.0,110.2699966430664,108.83000183105469,110.23999786376953,90.20832061767578,4975800
2020-02-19,110.5199966430664,111.0999984741211,109.88999938964844,110.73999786376953,90.61747741699219,5887500
2020-02-20,110.77999877929688,111.06999969482422,109.69999694824219,109.80999755859375,89.8564682006836,4466600
2020-02-21,108.98999786376953,109.19000244140625,107.6500015258789,109.01000213623047,89.20183563232422,6443900
2020-02-24,105.70999908447266,106.95999908447266,104.41999816894531,104.70999908447266,85.68318176269531,9539800
2020-02-25,104.80000305175781,104.91999816894531,100.0,100.70999908447266,82.4100341796875,12871900
2020-02-26,100.86000061035156,101.61000061035156,98.0,98.04000091552734,80.22517395019531,11990400
2020-02-27,95.94999694824219,98.19999694824219,94.08000183105469,94.12999725341797,77.02566528320312,15783700
2020-02-28,90.62999725341797,93.44000244140625,90.11000061035156,93.33999633789062,76.37921905517578,20835100
2020-03-02,94.0199966430664,96.68000030517578,92.20999908447266,96.58999633789062,79.03866577148438,15050800
2020-03-03,96.79000091552734,98.4800033569336,93.37000274658203,94.38999938964844,77.23843383789062,16525500
2020-03-04,96.37000274658203,99.0199966430664,95.66999816894531,98.52999877929688,80.62615203857422,14753000
2020-03-05,95.70999908447266,97.38999938964844,94.94000244140625,97.19000244140625,79.52963256835938,12814400
2020-03-06,93.91999816894531,96.05999755859375,93.41999816894531,95.31999969482422,77.99942779541016,16861900
2020-03-09,82.2300033569336,88.01000213623047,80.0,80.66999816894531,66.01148986816406,30595500
2020-03-10,86.23999786376953,86.30000305175781,81.04000091552734,84.9800033569336,69.5383071899414,22642900
2020-03-11,82.2300033569336,84.83999633789062,81.75,83.02999877929688,67.94264221191406,18412800
2020-03-12,77.2300033569336,78.12999725341797,72.86000061035156,76.26000213623047,62.40282440185547,25768200
2020-03-13,79.9800033569336,83.5,74.11000061035156,83.41999816894531,68.26177978515625,23497500
2020-03-16,72.56999969482422,78.48999786376953,69.69000244140625,69.69999694824219,57.03484344482422,17535300
2020-03-17,70.4000015258789,72.9800033569336,65.48999786376953,70.69000244140625,57.84495162963867,22684200
2020-03-18,66.20999908447266,66.2300033569336,54.56999969482422,55.04999923706055,45.0468864440918,24947300
2020-03-19,55.2599983215332,58.4900016784668,51.599998474121094,57.38999938964844,46.9616813659668,29871000
2020-03-20,59.529998779296875,60.650001525878906,56.36000061035156,59.38999938964844,48.59825897216797,26960400
2020-03-23,58.2599983215332,59.400001525878906,52.970001220703125,54.220001220703125,44.367698669433594,23764000
2020-03-24,61.47999954223633,67.6500015258789,60.31999969482422,66.55000305175781,54.45722198486328,29198800
2020-03-25,68.29000091552734,73.13999938964844,66.63999938964844,69.2699966430664,56.68297576904297,22560100
2020-03-26,70.30000305175781,77.0999984741211,67.88999938964844,76.37999725341797,62.50102233886719,24129100
2020-03-27,72.12000274658203,73.54000091552734,68.5,68.77999877929688,56.28200912475586,20411500
2020-03-30,68.01000213623047,72.93000030517578,67.0199966430664,71.94999694824219,58.87598419189453,18486800
2020-03-31,73.2699966430664,75.04000091552734,70.80999755859375,72.45999908447266,59.2933235168457,18514200
2020-04-01,69.51000213623047,72.29000091552734,67.61000061035156,68.55999755859375,56.101985931396484,14362000
2020-04-02,71.75,78.69999694824219,69.58000183105469,76.12000274658203,62.28824996948242,23220600
2020-04-03,78.0,78.98999786376953,73.02999877929688,75.11000061035156,61.46179962158203,14905400
2020-04-06,77.0,80.94999694824219,75.51000213623047,80.38999938964844,65.78235626220703,17334900
2020-04-07,84.26000213623047,85.69000244140625,80.8499984741211,80.91999816894531,66.21604919433594,16394800
2020-04-08,82.29000091552734,86.30000305175781,81.5199966430664,85.9800033569336,70.35661315917969,12284800
2020-04-09,88.73999786376953,89.91000366210938,81.5199966430664,84.30999755859375,68.99005889892578,17023800
2020-04-13,87.18000030517578,87.36000061035156,83.4000015258789,84.91000366210938,69.48103332519531,13854700
2020-04-14,85.45999908447266,87.08000183105469,84.33000183105469,84.61000061035156,69.23554992675781,14797600
2020-04-15,80.45999908447266,83.37999725341797,79.31999969482422,82.48999786376953,67.50077056884766,13982300
2020-04-16,81.30999755859375,82.19000244140625,78.80999755859375,79.98999786376953,65.45504760742188,12291900
2020-04-17,81.33000183105469,87.5,81.31999969482422,87.16999816894531,71.33038330078125,16130100
2020-04-20,82.66000366210938,87.0,82.08999633789062,83.56999969482422,68.38450622558594,15749000
2020-04-21,80.27999877929688,83.79000091552734,79.25,81.63999938964844,66.80522918701172,19620600
2020-04-22,84.94999694824219,85.25,82.97000122070312,84.44000244140625,69.09642028808594,10320700
2020-04-23,86.30000305175781,88.77999877929688,85.38999938964844,86.80000305175781,71.02760314941406,14226500
2020-04-24,88.4800033569336,88.79000091552734,85.7699966430664,87.01000213623047,71.19945526123047,9175500
2020-04-27,86.75,90.62000274658203,85.87000274658203,89.70999908447266,73.40882873535156,12037100
2020-04-28,89.55000305175781,90.95999908447266,88.83000183105469,89.91000366210938,73.5724868774414,10645200
2020-04-29,92.4800033569336,95.13999938964844,92.29000091552734,94.62000274658203,77.42664337158203,12342800
2020-04-30,93.72000122070312,95.73999786376953,90.58000183105469,92.0,75.28270721435547,12222000
2020-05-01,91.51000213623047,92.05000305175781,87.04000091552734,89.44000244140625,73.18790435791016,13250100
2020-05-04,88.76000213623047,91.62000274658203,87.69000244140625,91.44000244140625,74.82447814941406,11192400
2020-05-05,94.5,95.30000305175781,92.68000030517578,92.88999938964844,76.01099395751953,13608700
2020-05-06,92.8499984741211,93.45999908447266,89.7699966430664,90.05000305175781,73.68704986572266,11145900
2020-05-07,92.9800033569336,94.05999755859375,91.91000366210938,92.63999938964844,75.80641174316406,9749600
2020-05-08,95.0,95.55999755859375,94.06999969482422,95.47000122070312,78.12220001220703,8585900
2020-05-11,94.20999908447266,94.5999984741211,93.18000030517578,93.37000274658203,76.40377044677734,7101000
2020-05-12,93.12999725341797,94.02999877929688,91.0,91.0999984741211,74.54624938964844,8749100
2020-05-13,89.9000015258789,90.0,87.31999969482422,88.69999694824219,72.58235931396484,12215100
2020-05-14,87.29000091552734,90.93000030517578,86.0199966430664,90.05000305175781,73.68704986572266,10678200
2020-05-15,90.6500015258789,92.05999755859375,88.83000183105469,89.16000366210938,72.95877075195312,10113000
2020-05-18,92.4000015258789,93.4000015258789,91.45999908447266,92.55000305175781,76.84459686279297,12304300
2020-05-19,92.52999877929688,92.62999725341797,89.52999877929688,89.62000274658203,74.41181182861328,7749300
2020-05-20,91.0,93.47000122070312,90.18000030517578,93.0,77.21822357177734,9160000
2020-05-21,92.7699966430664,93.37000274658203,91.27999877929688,92.04000091552734,76.42113494873047,8830900
2020-05-22,91.44999694824219,91.5999984741211,89.47000122070312,90.27999877929688,74.95979309082031,8563100
2020-05-26,92.48999786376953,94.33999633789062,92.02999877929688,93.30000305175781,77.46733093261719,9430000
2020-05-27,94.68000030517578,94.69000244140625,92.11000061035156,93.9000015258789,77.96550750732422,7822600
2020-05-28,93.61000061035156,93.9000015258789,90.79000091552734,90.87000274658203,75.44969177246094,9633300
2020-05-29,90.19000244140625,91.88999938964844,89.26000213623047,91.69999694824219,76.13883209228516,17010000
2020-06-01,90.94000244140625,93.8499984741211,90.11000061035156,92.79000091552734,77.04385375976562,7344000
2020-06-02,93.77999877929688,95.22000122070312,93.29000091552734,94.69000244140625,78.6214370727539,7880300
2020-06-03,95.97000122070312,97.7300033569336,95.75,97.18000030517578,80.68889617919922,8440200
2020-06-04,96.77999877929688,96.88999938964844,95.16000366210938,96.27999877929688,79.9416275024414,6371700
2020-06-05,99.08000183105469,102.05000305175781,99.05000305175781,100.80999755859375,83.70288848876953,12760100
